Algoritmo;Dimensione (n);Funzione hash;Tempo di esecuzione
KMH;4096;21;1.24332e+06
KMH;4096;22;1.17866e+06
KMH;4096;23;1.21381e+06
KMH;4096;24;1.12693e+06
KMH;4096;25;1.18172e+06
KMH;4096;26;1.17659e+06
KMH;4096;27;1.20972e+06
KMH;4096;28;1.20394e+06
KMH;4096;29;1.2588e+06
KMH;4096;30;1.22371e+06
KMH;4096;31;1.16481e+06
KMH;4096;32;1.19514e+06
KMH;4096;33;1.1739e+06
KMH;4096;34;1.18713e+06
KMH;4096;35;1.16742e+06
KMH;4096;36;1.1922e+06
KMH;4096;37;1.17185e+06
KMH;4096;38;1.17525e+06
KMH;4096;39;1.12112e+06
KMH;4096;40;1.13474e+06
KMH;4096;41;1.14164e+06
KMH;4096;42;1.11766e+06
KMH;4096;43;1.12006e+06
KMH;4096;44;1.11749e+06
KMH;4096;45;1.1345e+06
KMH;4096;46;1.13235e+06
KMH;4096;47;1.11817e+06
KMH;4096;48;1.11724e+06
KMH;4096;49;1.11728e+06
KMH;4096;50;1.11862e+06
KMH;4096;51;1.11777e+06
KMH;4096;52;1.11944e+06
KMH;4096;53;1.11696e+06
KMH;4096;54;1.11783e+06
KMH;4096;55;1.11872e+06
KMH;4096;56;1.12084e+06
KMH;4096;57;1.11859e+06
KMH;4096;58;1.1174e+06
KMH;4096;59;1.11826e+06
KMH;4096;60;1.12342e+06
KMH;4096;61;1.11798e+06
KMH;4096;62;1.11734e+06
KMH;4096;63;1.11786e+06
KMH;4096;64;1.11840e+06
KMH;4096;65;1.11949e+06
KMH;4096;66;1.11804e+06
KMH;4096;67;1.11859e+06
KMH;4096;68;1.11732e+06
KMH;4096;69;1.11755e+06
KMH;4096;70;1.11970e+06
KMH;4096;71;1.11799e+06
KMH;4096;72;1.11745e+06
KMH;4096;73;1.11771e+06
KMH;4096;74;1.11797e+06
KMH;4096;75;1.11815e+06
KMH;4096;76;1.11908e+06
KMH;4096;77;1.12391e+06
KMH;4096;78;1.24592e+06
KMH;4096;79;1.12027e+06
KMH;4096;80;1.12308e+06
KMH;4096;81;1.14212e+06
KMH;4096;82;1.12267e+06
KMH;4096;83;1.13994e+06
KMH;4096;84;1.12603e+06
KMH;4096;85;1.12457e+06
KMH;4096;86;1.13155e+06
KMH;4096;87;1.11848e+06
KMH;4096;88;1.15935e+06
KMH;4096;89;1.12552e+06
KMH;4096;90;1.12044e+06
KMH;4096;91;1.11792e+06
KMH;4096;92;1.11761e+06
KMH;4096;93;1.11778e+06
KMH;4096;94;1.12028e+06
KMH;4096;95;1.13373e+06
KMH;4096;96;1.16049e+06
KMH;4096;97;1.16363e+06
KMH;4096;98;1.11994e+06
KMH;4096;99;1.11784e+06
KMH;4096;100;1.11847e+06
KMH;8192;1;1.47506e+06
KMH;8192;2;1.51307e+06
KMH;8192;3;1.49324e+06
KMH;8192;4;1.49591e+06
KMH;8192;5;1.49162e+06
KMH;8192;6;1.51291e+06
KMH;8192;7;1.47643e+06
KMH;8192;8;1.47062e+06
KMH;8192;9;1.5069e+06
KMH;8192;10;1.50372e+06
KMH;8192;11;1.48647e+06
KMH;8192;12;1.50644e+06
KMH;8192;13;1.48085e+06
KMH;8192;14;1.61498e+06
KMH;8192;15;1.47569e+06
KMH;8192;16;1.47779e+06
KMH;8192;17;1.47709e+06
KMH;8192;18;1.48465e+06
KMH;8192;19;1.55884e+06
KMH;8192;20;1.47864e+06
KMH;8192;21;1.47575e+06
KMH;8192;22;1.47692e+06
KMH;8192;23;1.46934e+06
KMH;8192;24;1.47118e+06
KMH;8192;25;1.47826e+06
KMH;8192;26;1.47538e+06
KMH;8192;27;1.51727e+06
KMH;8192;28;1.4721e+06
KMH;8192;29;1.48872e+06
KMH;8192;30;1.47521e+06
KMH;8192;31;1.56753e+06
KMH;8192;32;1.60872e+06
KMH;8192;33;1.49926e+06
KMH;8192;34;1.52196e+06
KMH;8192;35;1.47378e+06
KMH;8192;36;1.46978e+06
KMH;8192;37;1.54198e+06
KMH;8192;38;1.4955e+06
KMH;8192;39;1.47974e+06
KMH;8192;40;1.47967e+06
KMH;8192;41;1.52007e+06
KMH;8192;42;1.47677e+06
KMH;8192;43;1.53899e+06
KMH;8192;44;1.48875e+06
KMH;8192;45;1.47064e+06
KMH;8192;46;1.47448e+06
KMH;8192;47;1.55008e+06
KMH;8192;48;1.47846e+06
KMH;8192;49;1.47715e+06
KMH;8192;50;1.49051e+06
KMH;8192;51;1.50056e+06
KMH;8192;52;1.50547e+06
KMH;8192;53;1.4807e+06
KMH;8192;54;1.4744e+06
KMH;8192;55;1.5001e+06
KMH;8192;56;1.47412e+06
KMH;8192;57;1.47166e+06
KMH;8192;58;1.52346e+06
KMH;8192;59;1.47025e+06
KMH;8192;60;1.47345e+06
KMH;8192;61;1.4833e+06
KMH;8192;62;1.46965e+06
KMH;8192;63;1.46925e+06
KMH;8192;64;1.47168e+06
KMH;8192;65;1.4724e+06
KMH;8192;66;1.46971e+06
KMH;8192;67;1.46939e+06
KMH;8192;68;1.47671e+06
KMH;8192;69;1.52276e+06
KMH;8192;70;1.47244e+06
KMH;8192;71;1.50376e+06
KMH;8192;72;1.46975e+06
KMH;8192;73;1.47042e+06
KMH;8192;74;1.47627e+06
KMH;8192;75;1.47523e+06
KMH;8192;76;1.55475e+06
KMH;8192;77;1.53779e+06
KMH;8192;78;1.48251e+06
KMH;8192;79;1.47554e+06
KMH;8192;80;1.47126e+06
KMH;8192;81;1.47139e+06
KMH;8192;82;1.46967e+06
KMH;8192;83;1.47028e+06
KMH;8192;84;1.46977e+06
KMH;8192;85;1.47949e+06
KMH;8192;86;1.47366e+06
KMH;8192;87;1.47016e+06
KMH;8192;88;1.47316e+06
KMH;8192;89;1.46961e+06
KMH;8192;90;1.47119e+06
KMH;8192;91;1.48329e+06
KMH;8192;92;1.55735e+06
KMH;8192;93;1.4737e+06
KMH;8192;94;1.47211e+06
KMH;8192;95;1.47407e+06
KMH;8192;96;1.4693e+06
KMH;8192;97;1.47366e+06
KMH;8192;98;1.54844e+06
KMH;8192;99;1.47039e+06
KMH;8192;100;1.47141e+06
KMH;16384;1;2.17461e+06
KMH;16384;2;2.17235e+06
KMH;16384;3;2.23164e+06
KMH;16384;4;2.17437e+06
KMH;16384;5;2.17546e+06
KMH;16384;6;2.17829e+06
KMH;16384;7;2.17283e+06
KMH;16384;8;2.20155e+06
KMH;16384;9;2.26639e+06
KMH;16384;10;2.17743e+06
KMH;16384;11;2.17496e+06
KMH;16384;12;2.17431e+06
KMH;16384;13;2.17524e+06
KMH;16384;14;2.1722e+06
KMH;16384;15;2.1864e+06
KMH;16384;16;2.25937e+06
KMH;16384;17;2.1801e+06
KMH;16384;18;2.173e+06
KMH;16384;19;2.17427e+06
KMH;16384;20;2.23953e+06
KMH;16384;21;2.18357e+06
KMH;16384;22;2.35242e+06
KMH;16384;23;2.25352e+06
KMH;16384;24;2.17699e+06
KMH;16384;25;2.18432e+06
KMH;16384;26;2.21703e+06
KMH;16384;27;2.17216e+06
KMH;16384;28;2.18162e+06
KMH;16384;29;2.18152e+06
KMH;16384;30;2.17763e+06
KMH;16384;31;2.17646e+06
KMH;16384;32;2.1785e+06
KMH;16384;33;2.22451e+06
KMH;16384;34;2.18947e+06
KMH;16384;35;2.19216e+06
KMH;16384;36;2.32536e+06
KMH;16384;37;2.17832e+06
KMH;16384;38;2.17778e+06
KMH;16384;39;2.1769e+06
KMH;16384;40;2.25957e+06
KMH;16384;41;2.19421e+06
KMH;16384;42;2.17390e+06
KMH;16384;43;2.2301e+06
KMH;16384;44;2.22054e+06
KMH;16384;45;2.17933e+06
KMH;16384;46;2.17323e+06
KMH;16384;47;2.31290e+06
KMH;16384;48;2.26499e+06
KMH;16384;49;2.23233e+06
KMH;16384;50;2.19093e+06
KMH;16384;51;2.26808e+06
KMH;16384;52;2.19300e+06
KMH;16384;53;2.17286e+06
KMH;16384;54;2.17445e+06
KMH;16384;55;2.17287e+06
KMH;16384;56;2.1801e+06
KMH;16384;57;2.17446e+06
KMH;16384;58;2.17758e+06
KMH;16384;59;2.18175e+06
KMH;16384;60;2.19574e+06
KMH;16384;61;2.26948e+06
KMH;16384;62;2.17183e+06
KMH;16384;63;2.17326e+06
KMH;16384;64;2.23995e+06
KMH;16384;65;2.19846e+06
KMH;16384;66;2.17235e+06
KMH;16384;67;2.17522e+06
KMH;16384;68;2.17189e+06
KMH;16384;69;2.17162e+06
KMH;16384;70;2.17526e+06
KMH;16384;71;2.17164e+06
KMH;16384;72;2.17527e+06
KMH;16384;73;2.17179e+06
KMH;16384;74;2.1755e+06
KMH;16384;75;2.1767e+06
KMH;16384;76;2.17525e+06
KMH;16384;77;2.17358e+06
KMH;16384;78;2.17212e+06
KMH;16384;79;2.17468e+06
KMH;16384;80;2.17339e+06
KMH;16384;81;2.17358e+06
KMH;16384;82;2.17193e+06
KMH;16384;83;2.1725e+06
KMH;16384;84;2.20339e+06
KMH;16384;85;2.17706e+06
KMH;16384;86;2.17526e+06
KMH;16384;87;2.17081e+06
KMH;16384;88;2.17371e+06
KMH;16384;89;2.17688e+06
KMH;16384;90;2.33265e+06
KMH;16384;91;2.23763e+06
KMH;16384;92;2.27728e+06
KMH;16384;93;2.27895e+06
KMH;16384;94;2.17221e+06
KMH;16384;95;2.17536e+06
KMH;16384;96;2.1764e+06
KMH;16384;97;2.17518e+06
KMH;16384;98;2.19906e+06
KMH;16384;99;2.32227e+06
KMH;16384;100;2.18739e+06
KMH;32768;1;3.58224e+06
KMH;32768;2;3.58094e+06
KMH;32768;3;3.57839e+06
KMH;32768;4;3.58068e+06
KMH;32768;5;3.57998e+06
KMH;32768;6;3.57563e+06
KMH;32768;7;3.58007e+06
KMH;32768;8;3.62115e+06
KMH;32768;9;3.65607e+06
KMH;32768;10;3.63045e+06
KMH;32768;11;3.61163e+06
KMH;32768;12;3.57845e+06
KMH;32768;13;3.57594e+06
KMH;32768;14;3.57798e+06
KMH;32768;15;3.59316e+06
KMH;32768;16;3.71424e+06
KMH;32768;17;3.61844e+06
KMH;32768;18;3.58109e+06
KMH;32768;19;3.63627e+06
KMH;32768;20;3.58793e+06
KMH;32768;21;3.57689e+06
KMH;32768;22;3.57627e+06
KMH;32768;23;3.59015e+06
KMH;32768;24;3.5779e+06
KMH;32768;25;3.58135e+06
KMH;32768;26;3.59464e+06
KMH;32768;27;3.88301e+06
KMH;32768;28;3.74348e+06
KMH;32768;29;3.57671e+06
KMH;32768;30;3.6045e+06
KMH;32768;31;3.60444e+06
KMH;32768;32;4.1342e+06
KMH;32768;33;3.62622e+06
KMH;32768;34;3.97616e+06
KMH;32768;35;3.68552e+06
KMH;32768;36;3.64321e+06
KMH;32768;37;3.63612e+06
KMH;32768;38;3.69791e+06
KMH;32768;39;3.69807e+06
KMH;32768;40;3.61844e+06
KMH;32768;41;3.58061e+06
KMH;32768;42;3.65213e+06
KMH;32768;43;3.59817e+06
KMH;32768;44;3.57741e+06
KMH;32768;45;3.57928e+06
KMH;32768;46;3.58018e+06
KMH;32768;47;3.57546e+06
KMH;32768;48;3.67399e+06
KMH;32768;49;3.69122e+06
KMH;32768;50;3.60865e+06
KMH;32768;51;3.70023e+06
