Algoritmo;Dimensione (k);Funzione hash;Tempo di esecuzione
FSS;128;2;13926
FSS;128;3;56
FSS;128;4;14577
FSS;128;5;57
FSS;128;6;12234
FSS;128;7;57
FSS;128;8;10753
FSS;128;9;59
FSS;128;10;13230
FSS;256;1;72
FSS;256;2;391
FSS;256;3;138
FSS;256;4;24443
FSS;256;5;22435
FSS;256;6;74
FSS;256;7;24394
FSS;256;8;80
FSS;256;9;23677
FSS;256;10;72
FSS;512;1;44738
FSS;512;2;41916
FSS;512;3;52088
FSS;512;4;120
FSS;512;5;47628
FSS;512;6;87
FSS;512;7;88
FSS;512;8;47063
FSS;512;9;106
FSS;512;10;52777
