Algoritmo;K;Jaccard_reale;Ripetizione;Jaccard_stimata
KMH;16;0.1008;16;0.0625
KMH;16;0.1008;17;0.0625
KMH;16;0.1008;18;0.0625
KMH;16;0.1008;19;0.0625
KMH;16;0.1008;20;0.0625
KMH;16;0.1008;21;0.0625
KMH;16;0.1008;22;0
KMH;16;0.1008;23;0
KMH;16;0.1008;24;0
KMH;16;0.1008;25;0.0625
KMH;16;0.1008;26;0.0625
KMH;16;0.1008;27;0.0625
KMH;16;0.1008;28;0.0625
KMH;16;0.1008;29;0.0625
KMH;16;0.1008;30;0.0625
KMH;16;0.1008;31;0.0625
KMH;16;0.1008;32;0.0625
KMH;16;0.1008;33;0.0625
KMH;16;0.1008;34;0.0625
KMH;16;0.1008;35;0.125
KMH;16;0.1008;36;0.125
KMH;16;0.1008;37;0.125
KMH;16;0.1008;38;0.125
KMH;16;0.1008;39;0.125
KMH;16;0.1008;40;0.125
KMH;16;0.1008;41;0.0625
KMH;16;0.1008;42;0.0625
KMH;16;0.1008;43;0.0625
KMH;16;0.1008;44;0.0625
KMH;16;0.1008;45;0.0625
KMH;16;0.1008;46;0.0625
KMH;16;0.1008;47;0.0625
KMH;16;0.1008;48;0.125
KMH;16;0.1008;49;0.1875
KMH;16;0.1008;50;0.25
KMH;16;0.1008;51;0.1875
KMH;16;0.1008;52;0.1875
KMH;16;0.1008;53;0.1875
KMH;16;0.1008;54;0.1875
KMH;16;0.1008;55;0.1875
KMH;16;0.1008;56;0.1875
KMH;16;0.1008;57;0.1875
KMH;16;0.1008;58;0.1875
KMH;16;0.1008;59;0.1875
KMH;16;0.1008;60;0.1875
KMH;16;0.1008;61;0.1875
KMH;16;0.1008;62;0.1875
KMH;16;0.1008;63;0.1875
KMH;16;0.1008;64;0.1875
KMH;16;0.1008;65;0.125
KMH;16;0.1008;66;0.0625
KMH;16;0.1008;67;0.0625
KMH;16;0.1008;68;0.0625
KMH;16;0.1008;69;0.0625
KMH;16;0.1008;70;0.0625
KMH;16;0.1008;71;0.0625
KMH;16;0.1008;72;0.0625
KMH;16;0.1008;73;0.0625
KMH;16;0.1008;74;0.0625
KMH;16;0.1008;75;0.0625
KMH;16;0.1008;76;0.0625
KMH;16;0.1008;77;0.0625
KMH;16;0.1008;78;0.0625
KMH;16;0.1008;79;0.0625
KMH;16;0.1008;80;0
KMH;16;0.1008;81;0
KMH;16;0.1008;82;0
KMH;16;0.1008;83;0
KMH;16;0.1008;84;0
KMH;16;0.1008;85;0
KMH;16;0.1008;86;0
KMH;16;0.1008;87;0
KMH;16;0.1008;88;0
KMH;16;0.1008;89;0
KMH;16;0.1008;90;0.0625
KMH;16;0.1008;91;0.0625
KMH;16;0.1008;92;0.0625
KMH;16;0.1008;93;0.0625
KMH;16;0.1008;94;0.0625
KMH;16;0.1008;95;0.0625
KMH;16;0.1008;96;0.0625
KMH;16;0.1008;97;0.0625
KMH;16;0.1008;98;0.0625
KMH;16;0.1008;99;0.0625
KMH;16;0.1008;100;0.0625
KMH;16;0.19882;1;0.1875
KMH;16;0.19882;2;0.25
KMH;16;0.19882;3;0.25
KMH;16;0.19882;4;0.3125
KMH;16;0.19882;5;0.25
KMH;16;0.19882;6;0.1875
KMH;16;0.19882;7;0.1875
KMH;16;0.19882;8;0.1875
KMH;16;0.19882;9;0.1875
KMH;16;0.19882;10;0.1875
KMH;16;0.19882;11;0.1875
KMH;16;0.19882;12;0.1875
KMH;16;0.19882;13;0.25
KMH;16;0.19882;14;0.3125
KMH;16;0.19882;15;0.3125
KMH;16;0.19882;16;0.3125
KMH;16;0.19882;17;0.375
KMH;16;0.19882;18;0.3125
KMH;16;0.19882;19;0.3125
KMH;16;0.19882;20;0.3125
KMH;16;0.19882;21;0.3125
KMH;16;0.19882;22;0.3125
KMH;16;0.19882;23;0.375
KMH;16;0.19882;24;0.4375
KMH;16;0.19882;25;0.4375
KMH;16;0.19882;26;0.4375
KMH;16;0.19882;27;0.375
KMH;16;0.19882;28;0.375
KMH;16;0.19882;29;0.3125
KMH;16;0.19882;30;0.25
KMH;16;0.19882;31;0.25
KMH;16;0.19882;32;0.25
KMH;16;0.19882;33;0.1875
KMH;16;0.19882;34;0.1875
KMH;16;0.19882;35;0.1875
KMH;16;0.19882;36;0.125
KMH;16;0.19882;37;0.125
KMH;16;0.19882;38;0.125
KMH;16;0.19882;39;0.0625
KMH;16;0.19882;40;0
KMH;16;0.19882;41;0
KMH;16;0.19882;42;0
KMH;16;0.19882;43;0
KMH;16;0.19882;44;0
KMH;16;0.19882;45;0
KMH;16;0.19882;46;0
KMH;16;0.19882;47;0
KMH;16;0.19882;48;0
KMH;16;0.19882;49;0
KMH;16;0.19882;50;0
KMH;16;0.19882;51;0
KMH;16;0.19882;52;0
KMH;16;0.19882;53;0
